symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-02-20 00:00:00+00:00,92.72,93.06,91.01,91.48,30107057,87.4791838041,87.7999659708,85.8658382012,86.3092723727,30107057,0.0,1.0
MSFT,2018-02-21 00:00:00+00:00,91.49,93.36,91.49,92.98,26081953,86.3187071423,88.083009059,86.3187071423,87.7244878139,26081953,0.0,1.0
MSFT,2018-02-22 00:00:00+00:00,91.73,92.73,91.36,92.05,22723756,86.5451416129,87.4886185737,86.1960551374,86.8470542404,22723756,0.0,1.0
MSFT,2018-02-23 00:00:00+00:00,94.06,94.07,92.36,93.6,25779955,88.7434429316,88.7528777012,87.1395320982,88.3094435296,25779955,0.0,1.0
MSFT,2018-02-26 00:00:00+00:00,95.42,95.45,94.25,94.4,29760276,90.0265715982,90.054875907,88.9227035541,89.0642250982,29760276,0.0,1.0
MSFT,2018-02-27 00:00:00+00:00,94.2,95.84,94.2,95.74,25540755,88.8755297061,90.4228319218,88.8755297061,90.3284842257,25540755,0.0,1.0
MSFT,2018-02-28 00:00:00+00:00,93.77,95.71,93.63,94.84,29314525,88.4698346129,90.3001799168,88.3377478384,89.479354961,29314525,0.0,1.0
MSFT,2018-03-01 00:00:00+00:00,92.85,94.57,91.84,93.99,37135561,87.601835809,89.2246161816,86.6489240786,88.6773995443,37135561,0.0,1.0
MSFT,2018-03-02 00:00:00+00:00,93.05,93.15,90.86,91.58,32830389,87.7905312012,87.8848788972,85.724316657,86.4036200688,32830389,0.0,1.0
MSFT,2018-03-05 00:00:00+00:00,93.64,94.27,92.26,92.34,23901578,88.347182608,88.9415730933,87.0451844021,87.120662559,23901578,0.0,1.0
MSFT,2018-03-06 00:00:00+00:00,93.32,94.49,92.94,94.34,22175776,88.0452699806,89.1491380247,87.6867487355,89.0076164806,22175776,0.0,1.0
MSFT,2018-03-07 00:00:00+00:00,93.86,93.94,92.43,93.16,26716127,88.5547475394,88.6302256963,87.2055754855,87.8943136668,26716127,0.0,1.0
MSFT,2018-03-08 00:00:00+00:00,94.43,95.1,93.77,94.27,24861307,89.092529407,89.7246589708,88.4698346129,88.9415730933,24861307,0.0,1.0
MSFT,2018-03-09 00:00:00+00:00,96.54,96.54,95.0,95.29,36145524,91.0832657943,91.0832657943,89.6303112747,89.9039195933,36145524,0.0,1.0
MSFT,2018-03-12 00:00:00+00:00,96.77,97.21,96.04,96.5,25333720,91.3002654953,91.715395358,90.6115273139,91.0455267159,25333720,0.0,1.0
MSFT,2018-03-13 00:00:00+00:00,94.41,97.24,93.97,97.0,34445391,89.0736598678,91.7436996669,88.6585300051,91.5172651963,34445391,0.0,1.0
